School Name,School Name [Public School] 2010-11,School ID - NCES Assigned [Public School] 2010-11,Agency Name [Public School] 2010-11,Agency ID - NCES Assigned [Public School] 2010-11,County Name [Public School] 2010-11,County Number [Public School] 2010-11,Location Address [Public School] 2010-11,Location City [Public School] 2010-11,Location State Abbr [Public School] 2010-11,Location ZIP [Public School] 2010-11,Location ZIP4 [Public School] 2010-11,Phone Number [Public School] 2010-11,School Type [Public School] 2010-11,Agency Type [District] 2010-11,Operational Status [Public School] 2010-11,Charter School [Public School] 2010-11,Latitude [Public School] 2010-11,Longitude [Public School] 2010-11,State School ID [Public School] 2010-11,State Agency ID [Public School] 2010-11
"ACCOMPSETT MIDDLE SCHOOL, NY",ACCOMPSETT MIDDLE SCHOOL,362706000000,SMITHTOWN CENTRAL SCHOOL DISTRICT,3627060,SUFFOLK COUNTY,36103,MEADOW RD,SMITHTOWN,NY,11787,,6313822305,1-Regular school,1-Local school district,1-Currently operational,2-No,40.865332,-73.236886,580801000000,580801000000
"ACHIEVEMENT ACADEMY CHARTER SCHOOL, NY",ACHIEVEMENT ACADEMY CHARTER SCHOOL,360013000000,ACHIEVEMENT ACADEMY CHARTER SCHOOL,3600129,ALBANY COUNTY,36001,42 SOUTH DOVE ST,ALBANY,NY,12202,,5185331601,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,42.641275,-73.770828,10100860876,10100860876
"ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL, NY",ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,360103000000,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,3601028,KINGS COUNTY,36047,350 LINWOOD ST,BROOKLYN,NY,11208,,7182352647,1-Regular school,7-Charter school agency,3-New school,1-Yes,40.677043,-73.883471,331601000000,331601000000
"ACHIEVEMENT FIRST BRIDGEPORT ACADEMY, CT",ACHIEVEMENT FIRST BRIDGEPORT ACADEMY,90020801493,BRIDGEPORT ACHIEVEMENT FIRST,900208,FAIRFIELD COUNTY,9001,365 EAST WASHINGTON AVE,BRIDGEPORT,CT,6608,,2033339128,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,41.186,-73.186256,1,285
"ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL, NY",ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,360097000000,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,3600969,KINGS COUNTY,36047,2021 BERGEN ST,BROOKLYN,NY,11233,,7183424302,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.674174,-73.913545,332301000000,332301000000
"ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL, NY",ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,360017000000,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,3600166,KINGS COUNTY,36047,125 COVERT ST,BROOKLYN,NY,11207,,7184431213,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.688394,-73.910341,333201000000,333201000000
"ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL, NY",ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,360015000000,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,3600147,KINGS COUNTY,36047,790 EAST NEW YORK AVE,BROOKLYN,NY,11203,,7187740762,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.662389,-73.936541,331701000000,331701000000
"ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL, NY",ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,360015000000,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,3600149,KINGS COUNTY,36047,557 PENNSYLVANIA AVE,BROOKLYN,NY,11207,,7184854924,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.663557,-73.893661,331901000000,331901000000
"ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL, NY",ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,360017000000,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,3600170,KINGS COUNTY,36047,510 WAVERLY AVE,BROOKLYN,NY,11238,,7186224786,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.682941,-73.96588,331301000000,331301000000
"ACHIEVEMENT FIRST HARTFORD ACADEMY INC., CT",ACHIEVEMENT FIRST HARTFORD ACADEMY INC.,90021201528,ACHIEVEMENT FIRST HARTFORD AC,900212,HARTFORD COUNTY,9003,395 LYME ST,HARTFORD,CT,6112,,8606955280,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,41.804786,-72.704285,1,288
"ACORN COMMUNITY HIGH SCHOOL, NY",ACORN COMMUNITY HIGH SCHOOL,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT #13,3600091,KINGS COUNTY,36047,561 GRAND AVE,BROOKLYN,NY,11238,,7187892258,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.678462,-73.962065,331300000000,331300000000
"ACORN HIGH SCHOOL FOR SOCIAL JUSTICE, NY",ACORN HIGH SCHOOL FOR SOCIAL JUSTICE,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT #16,3600094,KINGS COUNTY,36047,1396 BROADWAY,BROOKLYN,NY,11221,,7189191256,1-Regular school,2-Local school district component of supervisory union,5-School has changed agency,2-No,40.688886,-73.9211,331600000000,331600000000
"ACT MAGNET SCHOOL (ARTS AT THE CAPITOL THEATER) -, CT",ACT MAGNET SCHOOL (ARTS AT THE CAPITOL THEATER) -,90136001507,EASTERN CONNECTICUT REGIONAL,901360,WINDHAM COUNTY,9015,896 MAIN ST,WILLIMANTIC,CT,6226,,8604655636,1-Regular school,4-Regional education services agency,1-Currently operational,2-No,41.712485,-72.215649,60,253
"ADAMSVILLE, NJ",ADAMSVILLE,340228000000,BRIDGEWATER-RARITAN REGIO,3402280,SOMERSET COUNTY,34035,400 UNION AVE,BRIDGEWATER,NJ,8807,,9085266440,1-Regular school,1-Local school district,1-Currently operational,2-No,40.569763,-74.579276,30,350555
"ADDISON HIGH SCHOOL, NY",ADDISON HIGH SCHOOL,360237000000,ADDISON CENTRAL SCHOOL DISTRICT,3602370,STEUBEN COUNTY,36101,1 COLWELL ST,ADDISON,NY,14801,1398,6073592241,1-Regular school,1-Local school district,1-Currently operational,2-No,42.105655,-77.232765,570101000000,570101000000
"ADELAIDE L   SANDFORD CS, NJ",ADELAIDE L   SANDFORD CS,340072000000,ADELAIDE L  SANDFORD CS,3400716,ESSEX COUNTY,34013,53 LINCOLN PARK,NEWARK,NJ,7102,,9732971275,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.726857,-74.179921,932,806016
"ADELPHIA SCHOOL, NJ",ADELPHIA SCHOOL,340756000000,HOWELL TOWNSHIP,3407560,MONMOUTH COUNTY,34025,495 ADELPHIA RD,FREEHOLD,NJ,7728,,7329191553,1-Regular school,1-Local school district,1-Currently operational,2-No,40.208029,-74.21884,3,252290
"ADIRONDACK HIGH SCHOOL, NY",ADIRONDACK HIGH SCHOOL,360504000000,ADIRONDACK CENTRAL SCHOOL DISTRICT,3605040,ONEIDA COUNTY,36065,8181 STATEROUTE 294,BOONVILLE,NY,13309,1200,3159429250,1-Regular school,1-Local school district,1-Currently operational,2-No,43.476526,-75.349657,410401000000,410401000000
"ADIRONDACK MIDDLE SCHOOL, NY",ADIRONDACK MIDDLE SCHOOL,360504000000,ADIRONDACK CENTRAL SCHOOL DISTRICT,3605040,ONEIDA COUNTY,36065,8181 STATEROUTE 294,BOONVILLE,NY,13309,1200,3159429202,1-Regular school,1-Local school district,1-Currently operational,2-No,43.476526,-75.349657,410401000000,410401000000
"ADLAI E STEVENSON, NJ",ADLAI E STEVENSON,340501000000,FAIRFIELD TOWNSHIP,3405010,ESSEX COUNTY,34013,15 KNOLL RD,FAIRFIELD,NJ,7006,1299,9732272120,1-Regular school,1-Local school district,1-Currently operational,2-No,40.8341,-74.3134,5,131465
"ADM  W F HALSEY LEADERSHIP ACAD, NJ",ADM  W F HALSEY LEADERSHIP ACAD,340459000000,ELIZABETH,3404590,UNION COUNTY,34039,600 PEARL ST,ELIZABETH,NJ,7208,,9084366600,1-Regular school,1-Local school district,1-Currently operational,2-No,40.659278,-74.210795,402,391320
"ADULT DIAGNOSTIC AND TREATMENT CENTER, NJ",ADULT DIAGNOSTIC AND TREATMENT CENTER,340009000000,OFFICE OF EDUCATIONAL SERVICES DEPARTMENT OF CORRECTIONS,3400088,MIDDLESEX COUNTY,34023,8 PRODUCTION WAY,AVENEL,NJ,7001,,7325742250,4-Alternative/other school,5-State-operated institution,1-Currently operational,2-No,40.591222,-74.274922,1,218502
"AFRICAN ROAD ELEMENTARY SCHOOL, NY",AFRICAN ROAD ELEMENTARY SCHOOL,362961000000,VESTAL CENTRAL SCHOOL DISTRICT,3629610,BROOME COUNTY,36007,600 SOUTH BENITA BLVD,VESTAL,NY,13850,2698,6077572311,1-Regular school,1-Local school district,1-Currently operational,2-No,42.087937,-76.015347,31601060021,31601060000
"AFTON ELEMENTARY SCHOOL, NY",AFTON ELEMENTARY SCHOOL,360240000000,AFTON CENTRAL SCHOOL DISTRICT,3602400,CHENANGO COUNTY,36017,29 ACADEMY ST,AFTON,NY,13730,5,6076398234,1-Regular school,1-Local school district,1-Currently operational,2-No,42.229971,-75.527333,80101040002,80101040000
"AFTON MIDDLE SCHOOL HIGH SCHOOL, NY",AFTON MIDDLE SCHOOL HIGH SCHOOL,360240000000,AFTON CENTRAL SCHOOL DISTRICT,3602400,CHENANGO COUNTY,36017,29 ACADEMY ST,AFTON,NY,13730,5,6076398200,1-Regular school,1-Local school district,1-Currently operational,2-No,42.229971,-75.527333,80101040003,80101040000
"AGNES Y HUMPHREY SCHOOL FOR LEADERSHIP, NY",AGNES Y HUMPHREY SCHOOL FOR LEADERSHIP,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT #15,3600092,KINGS COUNTY,36047,27 HUNTINGTON ST,BROOKLYN,NY,11231,,7183309285,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.6776,-74.005081,331500000000,331500000000
"AIKEN SCHOOL, CT",AIKEN SCHOOL,90492000004,WEST HARTFORD SCHOOL DISTRICT,904920,HARTFORD COUNTY,9003,212 KING PHILIP DR,WEST HARTFORD,CT,6117,1408,8602336994,1-Regular school,1-Local school district,1-Currently operational,2-No,41.800673,-72.746628,16,155
"AIM, CT",AIM,90372001400,REGIONAL SCHOOL DISTRICT 07,903720,LITCHFIELD COUNTY,9005,100 BATTISTONI DR,WINSTED,CT,6098,,8603798525,2-Special education school,1-Local school district,1-Currently operational,2-No,41.91241,-73.048542,91,207
"AKRON ELEMENTARY SCHOOL, NY",AKRON ELEMENTARY SCHOOL,360243000000,AKRON CENTRAL SCHOOL DISTRICT,3602430,ERIE COUNTY,36029,47 BLOOMINGDALE AVE,AKRON,NY,14001,1197,7165425050,1-Regular school,1-Local school district,1-Currently operational,2-No,43.024104,-78.491579,142101000000,142101000000
"AKRON HIGH SCHOOL, NY",AKRON HIGH SCHOOL,360243000000,AKRON CENTRAL SCHOOL DISTRICT,3602430,ERIE COUNTY,36029,47 BLOOMINGDALE AVE,AKRON,NY,14001,1197,7165425030,1-Regular school,1-Local school district,1-Currently operational,2-No,43.024104,-78.491579,142101000000,142101000000
"AKRON MIDDLE SCHOOL, NY",AKRON MIDDLE SCHOOL,360243000000,AKRON CENTRAL SCHOOL DISTRICT,3602430,ERIE COUNTY,36029,47 BLOOMINGDALE AVE,AKRON,NY,14001,,7165425040,1-Regular school,1-Local school district,1-Currently operational,2-No,43.024104,-78.491579,142101000000,142101000000
"ALAN B SHEPARD, NJ",ALAN B SHEPARD,340927000000,OLD BRIDGE TOWNSHIP,3409270,MIDDLESEX COUNTY,34023,33 BUSHNELL RD,OLD BRIDGE,NJ,8857,2320,7323604499,1-Regular school,1-Local school district,1-Currently operational,2-No,40.398245,-74.313022,82,233845
"ALBANY AVENUE ELEMENTARY SCHOOL, NY",ALBANY AVENUE ELEMENTARY SCHOOL,361098000000,FARMINGDALE UNION FREE SCHOOL DISTRICT,3610980,NASSAU COUNTY,36059,101 ALBANY AVE,NORTH MASSAPEQUA,NY,11758,2199,5167526570,1-Regular school,1-Local school district,1-Currently operational,2-No,40.7071,-73.4585,280522000000,280522000000
"ALBANY AVENUE SCHOOL, NY",ALBANY AVENUE SCHOOL,361738000000,LINDENHURST UNION FREE SCHOOL DISTRICT,3617380,SUFFOLK COUNTY,36103,180 ALBANY AVE,LINDENHURST,NY,11757,621,6318673150,1-Regular school,1-Local school district,1-Currently operational,2-No,40.687111,-73.385599,580104000000,580104000000
"ALBANY COMMUNITY CHARTER SCHOOL, NY",ALBANY COMMUNITY CHARTER SCHOOL,360016000000,ALBANY COMMUNITY CHARTER SCHOOL,3600162,ALBANY COUNTY,36001,65 KRANK ST,ALBANY,NY,12202,,5184331500,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,42.636651,-73.765151,10100860899,10100860899
"ALBANY ELEMENTARY SCHOOL, NY",ALBANY ELEMENTARY SCHOOL,362937000000,UTICA CITY SCHOOL DISTRICT,3629370,ONEIDA COUNTY,36065,1151 ALBANY ST,UTICA,NY,13501,3300,3153686500,1-Regular school,1-Local school district,1-Currently operational,2-No,43.086338,-75.210104,412300000000,412300000000
"ALBANY HIGH SCHOOL, NY",ALBANY HIGH SCHOOL,360246000000,ALBANY CITY SCHOOL DISTRICT,3602460,ALBANY COUNTY,36001,700 WASHINGTON AVE,ALBANY,NY,12203,1495,5184543987,1-Regular school,1-Local school district,1-Currently operational,2-No,42.667383,-73.781687,10100010034,10100010000
"ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS, NY",ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,360101000000,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,3601006,ALBANY COUNTY,36001,19 HACKETT BLVD,ALBANY,NY,12208,,5186945300,1-Regular school,7-Charter school agency,3-New school,1-Yes,42.646359,-73.7753,10100860960,10100860960
"ALBANY PREPARATORY CHARTER SCHOOL, NY",ALBANY PREPARATORY CHARTER SCHOOL,360013000000,ALBANY PREPARATORY CHARTER SCHOOL,3600130,ALBANY COUNTY,36001,50 SUMMIT AVE,ALBANY,NY,12209,,5186945005,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,42.64289,-73.780636,10100860884,10100860884
"ALBANY SCHOOL OF HUMANITIES, NY",ALBANY SCHOOL OF HUMANITIES,360246000000,ALBANY CITY SCHOOL DISTRICT,3602460,ALBANY COUNTY,36001,108 WHITEHALL RD,ALBANY,NY,12209,1495,5184627258,1-Regular school,1-Local school district,1-Currently operational,2-No,42.641794,-73.788802,10100010023,10100010000
"ALBERT BEAN, NJ",ALBERT BEAN,341299000000,PINE HILL BOROUGH,3412990,CAMDEN COUNTY,34007,70 EAST THIRD AVE,PINE HILL,NJ,8021,6204,8567835300,1-Regular school,1-Local school district,1-Currently operational,2-No,39.790184,-74.986738,60,74110
"ALBERT C   WAGNER CORRECTIONAL FACILITY, NJ",ALBERT C   WAGNER CORRECTIONAL FACILITY,340009000000,OFFICE OF EDUCATIONAL SERVICES DEPARTMENT OF CORRECTIONS,3400088,BURLINGTON COUNTY,34005,WARD AVE,BORDENTOWN,NJ,8505,,6092980500,4-Alternative/other school,5-State-operated institution,1-Currently operational,2-No,40.150489,-74.699824,15,218502
"ALBERT D. GRISWOLD MIDDLE SCHOOL, CT",ALBERT D. GRISWOLD MIDDLE SCHOOL,90384000782,ROCKY HILL SCHOOL DISTRICT,903840,HARTFORD COUNTY,9003,144 BAILEY RD,ROCKY HILL,CT,6067,2200,8602587741,1-Regular school,1-Local school district,1-Currently operational,2-No,41.667126,-72.651332,51,119
"ALBERT E GRICE MIDDLE, NJ",ALBERT E GRICE MIDDLE,340654000000,HAMILTON TOWNSHIP,3406540,MERCER COUNTY,34021,901 WHITEHORSE HAMILTON SQ,TRENTON,NJ,8610,1426,6096314152,1-Regular school,1-Local school district,1-Currently operational,2-No,40.203488,-74.696596,70,211950
"ALBERT ELIAS  HIGHFIELDS, NJ",ALBERT ELIAS  HIGHFIELDS,340009000000,OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION,3400089,HUNTERDON COUNTY,34019,188 LINDBERG RD,HOPEWELL,NJ,8525,,6094660740,4-Alternative/other school,5-State-operated institution,1-Currently operational,2-No,40.42344,-74.757613,2,218503
"ALBERT G PRODELL MIDDLE SCHOOL, NY",ALBERT G PRODELL MIDDLE SCHOOL,362684000000,SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT,3626840,SUFFOLK COUNTY,36103,100 RANDALL RD,SHOREHAM,NY,11786,2390,6318218210,1-Regular school,1-Local school district,1-Currently operational,2-No,40.936516,-72.896009,580601000000,580601000000
"ALBERT LEONARD MIDDLE SCHOOL, NY",ALBERT LEONARD MIDDLE SCHOOL,362049000000,NEW ROCHELLE CITY SCHOOL DISTRICT,3620490,WESTCHESTER COUNTY,36119,25 GERADA LN,NEW ROCHELLE,NY,10804,3399,9145764339,1-Regular school,1-Local school district,1-Currently operational,2-No,40.947151,-73.780637,661100000000,661100000000
"ALBERT P TERHUNE, NJ",ALBERT P TERHUNE,341728000000,WAYNE TOWNSHIP,3417280,PASSAIC COUNTY,34031,40 GEOFFREY WAY,WAYNE,NJ,7470,4029,9736333150,1-Regular school,1-Local school district,1-Currently operational,2-No,40.969425,-74.257281,78,315570
"ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING AR, NY",ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING AR,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,QUEENS COUNTY,36081,3151 21ST ST,LONG ISLAND CITY,NY,11106,,7182748316,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.766214,-73.930706,343000000000,343000000000
"ALBERTUS W BECKER SCHOOL, NY",ALBERTUS W BECKER SCHOOL,362415000000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,3624150,ALBANY COUNTY,36001,1146ROUTE 9W,SELKIRK,NY,12158,248,5187565200,1-Regular school,1-Local school district,1-Currently operational,2-No,42.556805,-73.808417,10402060002,10402060000
"ALCOTT SCHOOL, CT",ALCOTT SCHOOL,90528001105,WOLCOTT SCHOOL DISTRICT,905280,NEW HAVEN COUNTY,9009,1490 WOODTICK RD,WOLCOTT,CT,6716,1538,2038798160,1-Regular school,1-Local school district,1-Currently operational,2-No,41.624131,-72.960273,6,166
"ALDEN INTERMEDIATE SCHOOL, NY",ALDEN INTERMEDIATE SCHOOL,360255000000,ALDEN CENTRAL SCHOOL DISTRICT,3602550,ERIE COUNTY,36029,1648 CRITTENDEN RD,ALDEN,NY,14004,1099,7169379116,1-Regular school,1-Local school district,1-Currently operational,2-No,42.903335,-78.492214,140101000000,140101000000
"ALDEN MIDDLE SCHOOL, NY",ALDEN MIDDLE SCHOOL,360255000000,ALDEN CENTRAL SCHOOL DISTRICT,3602550,ERIE COUNTY,36029,13250 PARK ST,ALDEN,NY,14004,1099,7169379116,1-Regular school,1-Local school district,1-Currently operational,2-No,42.902985,-78.494434,140101000000,140101000000
"ALDEN PLACE ELEMENTARY SCHOOL, NY",ALDEN PLACE ELEMENTARY SCHOOL,361938000000,MILLBROOK CENTRAL SCHOOL DISTRICT,3619380,DUTCHESS COUNTY,36027,41 ALDEN PLACE,MILLBROOK,NY,12545,127,8456774220,1-Regular school,1-Local school district,1-Currently operational,2-No,41.781432,-73.687067,132201000000,132201000000
"ALDEN PRIMARY AT TOWNLINE, NY",ALDEN PRIMARY AT TOWNLINE,360255000000,ALDEN CENTRAL SCHOOL DISTRICT,3602550,ERIE COUNTY,36029,11197 BROADWAY,ALDEN,NY,14004,1099,7169379116,1-Regular school,1-Local school district,1-Currently operational,2-No,42.890407,-78.570261,140101000000,140101000000
"ALDEN SENIOR HIGH SCHOOL, NY",ALDEN SENIOR HIGH SCHOOL,360255000000,ALDEN CENTRAL SCHOOL DISTRICT,3602550,ERIE COUNTY,36029,13190 PARK ST,ALDEN,NY,14004,1099,7169379116,1-Regular school,1-Local school district,1-Currently operational,2-No,42.903004,-78.49578,140101000000,140101000000
"ALDEN TERRACE SCHOOL, NY",ALDEN TERRACE SCHOOL,361062000000,ELMONT UNION FREE SCHOOL DISTRICT,3610620,NASSAU COUNTY,36059,1835 CENTRAL AVE,VALLEY STREAM,NY,11580,1034,5162858310,1-Regular school,1-Local school district,1-Currently operational,2-No,40.683506,-73.714768,280216000000,280216000000
"ALDER AVE MIDDLE SCH, NJ",ALDER AVE MIDDLE SCH,340456000000,EGG HARBOR TOWNSHIP,3404560,ATLANTIC COUNTY,34001,25 ALDER AVE,EGG HARBOR TOWNSHIP,NJ,8234,5315,6093833366,1-Regular school,1-Local school district,1-Currently operational,2-No,39.410398,-74.644512,38,11310
"ALDRICH, NJ",ALDRICH,340756000000,HOWELL TOWNSHIP,3407560,MONMOUTH COUNTY,34025,615 ALDRICH RD,HOWELL,NJ,7731,1936,7327512483,1-Regular school,1-Local school district,1-Currently operational,2-No,40.150461,-74.24508,5,252290
"ALETTA CRICHTON, NJ",ALETTA CRICHTON,341281000000,PEMBERTON TOWNSHIP,3412810,BURLINGTON COUNTY,34005,TWO LEARNING WAY,BROWNS MILLS,NJ,8015,,6098938141,1-Regular school,1-Local school district,1-Currently operational,2-No,39.955472,-74.592041,125,54050
"ALEXANDER, NJ",ALEXANDER,340654000000,HAMILTON TOWNSHIP,3406540,MERCER COUNTY,34021,20 ROBERT FROST DR,HAMILTON SQUARE,NJ,8690,2331,6096314148,1-Regular school,1-Local school district,1-Currently operational,2-No,40.218244,-74.654742,85,211950
"ALEXANDER BATCHO INTER, NJ",ALEXANDER BATCHO INTER,340963000000,MANVILLE BOROUGH,3409630,SOMERSET COUNTY,34035,100 NORTH 13TH AVE,MANVILLE,NJ,8835,,9082318521,1-Regular school,1-Local school district,1-Currently operational,2-No,40.54342,-74.598805,65,353000
"ALEXANDER D SULLIVAN 30, NJ",ALEXANDER D SULLIVAN 30,340783000000,JERSEY CITY,3407830,HUDSON COUNTY,34017,171 SEAVIEW AVE,JERSEY CITY,NJ,7305,2412,2019156530,1-Regular school,1-Local school district,1-Currently operational,2-No,40.694063,-74.097749,320,172390
"ALEXANDER DENBO, NJ",ALEXANDER DENBO,341281000000,PEMBERTON TOWNSHIP,3412810,BURLINGTON COUNTY,34005,ONE LEARNING WAY,BROWNS MILLS,NJ,8015,,6098938141,1-Regular school,1-Local school district,1-Currently operational,2-No,39.954843,-74.591828,130,54050
"ALEXANDER ELEMENTARY SCHOOL, NY",ALEXANDER ELEMENTARY SCHOOL,360258000000,ALEXANDER CENTRAL SCHOOL DISTRICT,3602580,GENESEE COUNTY,36037,3314 BUFFALO ST,ALEXANDER,NY,14005,9769,5855911551,1-Regular school,1-Local school district,1-Currently operational,2-No,42.902003,-78.260895,180202000000,180202000000
"ALEXANDER HAMILTON, NJ",ALEXANDER HAMILTON,341081000000,MORRIS SCHOOL DISTRICT,3410810,MORRIS COUNTY,34027,24 MILLS ST,MORRISTOWN,NJ,7960,,9732922190,1-Regular school,1-Local school district,1-Currently operational,2-No,40.80141,-74.489716,60,273385
"ALEXANDER HAMILTON ACAD, NJ",ALEXANDER HAMILTON ACAD,341269000000,PATERSON,3412690,PASSAIC COUNTY,34031,11 27 16TH AVE,PATERSON,NJ,7509,,9733210320,1-Regular school,1-Local school district,1-Currently operational,2-No,40.91631,-74.166881,43,314010
"ALEXANDER HAMILTON ELEMENTARY SCHOOL, NY",ALEXANDER HAMILTON ELEMENTARY SCHOOL,361623000000,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,3616230,ERIE COUNTY,36029,44 WESTFALL DR,TONAWANDA,NY,14150,7130,7168748419,1-Regular school,1-Local school district,1-Currently operational,2-No,42.996534,-78.843837,142601000000,142601000000
"ALEXANDER HAMILTON HIGH SCHOOL, NY",ALEXANDER HAMILTON HIGH SCHOOL,361065000000,ELMSFORD UNION FREE SCHOOL DISTRICT,3610650,WESTCHESTER COUNTY,36119,98 SOUTH GOODWIN AVE,ELMSFORD,NY,10523,3769,9145927311,1-Regular school,1-Local school district,1-Currently operational,2-No,41.048965,-73.817302,660409000000,660409000000
"ALEXANDER HAMILTON SCHOOL, NJ",ALEXANDER HAMILTON SCHOOL,340597000000,GLEN ROCK,3405970,BERGEN COUNTY,34003,380 HARRISTOWN RD,GLEN ROCK,NJ,7452,2812,2014457700,1-Regular school,1-Local school district,1-Currently operational,2-No,40.953054,-74.131305,65,31760
"ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL, NY",ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,360258000000,ALEXANDER CENTRAL SCHOOL DISTRICT,3602580,GENESEE COUNTY,36037,3314 BUFFALO ST,ALEXANDER,NY,14005,9769,5855911551,1-Regular school,1-Local school district,1-Currently operational,2-No,42.902003,-78.260895,180202000000,180202000000
"ALEXANDER ST, NJ",ALEXANDER ST,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,43 ALEXANDER ST,NEWARK,NJ,7106,1904,9733742390,1-Regular school,1-Local school district,1-Currently operational,2-No,40.743985,-74.224568,180,133570
"ALEXANDRIA CENTRAL ELEMENTARY SCHOOL, NY",ALEXANDRIA CENTRAL ELEMENTARY SCHOOL,360267000000,ALEXANDRIA CENTRAL SCHOOL DISTRICT,3602670,JEFFERSON COUNTY,36045,34 BOLTON AVE,ALEXANDRIA BAY,NY,13607,1699,3154829971,1-Regular school,1-Local school district,1-Currently operational,2-No,44.335364,-75.911502,220202000000,220202000000
